"","Customer.Num","Company","Address..City..State...Zip","On.Off.Premise","Postal.Code","Salesman.Assigned","State.License.Num","County","City","Deliveryman.Assigned","main_phone","contact_name","contact_phone","contact_email","lon","lat","s_card"
"1",1006,"Chilly Mart - Carrolton","2220 Marsh Lane, #122, Carrollton, TX 75006","Off Premise",75006,"Jeff Martin","BQ949864","Dallas","Carrollton","Jose Vital",NA,NA,NA,NA,-96.8543227,32.9703068,"sales_card"
"2",1009,"Local Pint","2750 Churchill Drive, Flower Mound, TX 75063","On Premise",75063,"Nathan Zaremba","BG952805","Denton","Flower Mound","James Liston",NA,NA,NA,NA,-97.0720716,33.0339783,"sales_card"
"3",1010,"Haymaker","1520 Greenville Ave, Dallas, TX 75206","On Premise",75206,"Mason Lowe","MB953508","Dallas","Dallas","Joe Fronczek",NA,NA,NA,NA,-96.7699136,32.8097874,"sales_card"
"4",1011,"Craft Beer Cellar","6324 Gaston Ave., Dallas, TX 75214","Off Premise",75214,"Mason Lowe","BG953081","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7535466,32.8129583,"sales_card"
"5",1014,"44 Bootlegger","1411 W. Magnolia Ave., Suite 101, Fort Worth, TX 76104","On Premise",76104,"Taylor Coward","BG824866","Tarrant","Fort Worth","Joe Fronczek",NA,NA,NA,NA,-97.3407903,32.7303548,"sales_card"
"6",1016,"Crafty Irishman Public House","1800 Main St, Dallas, TX 75201","On Premise",75201,"Mason Lowe","MB950571","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7960436,32.7810318,"sales_card"
"7",1017,"Social Pie","5855 Maple Ave., Suite 160, Dallas, TX 75235","On Premise",75235,"Harrison Boyland","BG957413","Dallas","Dallas","Ronald Streng",NA,NA,NA,NA,-96.8381986,32.8222142,"sales_card"
"8",1021,"Beaker Social Club, Inc. - Pie Tap","2708 N. Henderson Ave., Suite 110, Dallas, TX 75206","On Premise",75206,"Mason Lowe","N945683","Dallas","Dallas","Joe Fronczek",NA,NA,NA,NA,-96.7815865,32.8178585,"sales_card"
"9",1032,"Taps & Caps - Fort Worth","6115 Camp Bowie Blvd., Fort Worth, TX 76116","On Premise",76116,"Nathan Zaremba","BG943308","Tarrant","Fort Worth","Joe Fronczek",NA,NA,NA,NA,-97.415196,32.7278049,"sales_card"
"10",1033,"Nerdvana Food & Spirits","5757 Main Street, Suite 112, Frisco, TX 75034","On Premise",75034,"Hudson Boyd","RM961005","Collin","Frisco","Ronald Streng",NA,NA,NA,NA,-96.8370261,33.1522787,"sales_card"
"11",1037,"Pie Tap Pizza Workshop and Bar","1212 Oak Lawn Ave, Dallas, TX 75207","On Premise",75207,"Harrison Boyland","MB940552","Dallas","Dallas","Joe Fronczek",NA,NA,NA,NA,-96.822546,32.7926659,"sales_card"
"12",1047,"Liquor City","290 E Corporate Dr., Lewisville, TX 75067","Off Premise",75067,"Jeff Martin","bf871276","Denton","Lewisville","James Liston",NA,NA,NA,NA,-96.9855362,33.0159883,"sales_card"
"13",1061,"Twin Peaks - Fort Worth - Fossil Creek","6650 North Freeway, Fort Worth, TX 76137","On Premise",76137,"Nathan Zaremba","MB845188","Tarrant","Fort Worth","Justin Stryker",NA,NA,NA,NA,-97.313697,32.8633557,"sales_card"
"14",1068,"Tricky Fish","1251 State Street, Richardson, TX 75082","On Premise",75082,"Harrison Boyland","RM932488","Collin","Richardson","Ronald Streng",NA,NA,NA,NA,-96.7009692,33.0016382,"sales_card"
"15",1069,"Tom Thumb 3614 - Hampton","315 S Hampton Road, Dallas, TX 75208","Off Premise",75208,"Brandon Byrd","BQ764686","Dallas","Dallas","Joe Fronczek",NA,NA,NA,NA,-96.8579515,32.7426503,"sales_card"
"16",1070,"Triple D Liquor","323 W 4th St., Weatherford, TX 76086","Off Premise",76086,"Taylor Coward","BF721394","Parker","Weatherford","Ronald Streng",NA,NA,NA,NA,-97.8029804,32.7733927,"sales_card"
