"","num","name","full_add","on_off","zip","salesman","lic_num","county","city","dvry_man","main_phone","contact_name","contact_phone","contact_email","lon","lat","geocode"
"1",1006,"Chilly Mart - Carrolton","2220 Marsh Lane, #122, Carrollton, TX 75006","Off Premise",75006,"Brian Schick","BQ949864","Dallas","Carrollton","Harrison Boyland",NA,NA,NA,NA,-96.8543227,32.9703068,"2220 marsh ln, carrollton, tx 75006, usa"
"2",1009,"Local Pint","2750 Churchill Drive, Flower Mound, TX 75063","On Premise",75063,"Nathan Zaremba","BG952805","Denton","Flower Mound","Edgard Olvera",NA,NA,NA,NA,-97.0720716,33.0339783,"2750 churchill dr, flower mound, tx 75028, usa"
"3",1010,"Haymaker","1520 Greenville Ave, Dallas, TX 75206","On Premise",75206,"Dominique Van Ausdall","MB953508","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7699136,32.8097874,"1520 greenville ave, dallas, tx 75206, usa"
"4",1011,"Craft Beer Cellar","6324 Gaston Ave., Dallas, TX 75214","Off Premise",75214,"Dominique Van Ausdall","BG953081","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7535466,32.8129583,"1"
"5",1014,"44 Bootlegger","1411 W. Magnolia Ave., Suite 101, Fort Worth, TX 76104","On Premise",76104,"Brandon Pitzer","BG824866","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3407903,32.7303548,"1"
"6",1017,"Social Pizza","5855 Maple Ave., Suite 160, Dallas, TX 75235","On Premise",75235,"Ethan Garrison","BG957413","Dallas","Dallas","James Liston",NA,NA,NA,NA,-96.8381986,32.8222142,"1"
"7",1021,"Beaker Social Club, Inc. - Pie Tap","2708 N. Henderson Ave., Suite 110, Dallas, TX 75206","On Premise",75206,"Dominique Van Ausdall","N945683","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7815865,32.8178585,"1"
"8",1032,"Taps & Caps - Fort Worth","6115 Camp Bowie Blvd., Fort Worth, TX 76116","On Premise",76116,"Dominique Van Ausdall","BG943308","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.4182794,32.7256806,"1"
"9",1033,"Nerdvana Food & Spirits","5757 Main Street, Suite 112, Frisco, TX 75034","On Premise",75034,"Hudson Boyd","RM961005","Collin","Frisco","Mike Harrison",NA,NA,NA,NA,-96.8370261,33.1522787,"1"
"10",1037,"Pie Tap Pizza Workshop and Bar","1212 Oak Lawn Ave, Dallas, TX 75207","On Premise",75207,"Ethan Garrison","MB940552","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.822546,32.7926659,"1"
"11",1047,"Liquor City","290 E Corporate Dr., Lewisville, TX 75067","Off Premise",75067,"Brian Schick","bf871276","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-96.9855362,33.0159883,"1"
"12",1061,"Twin Peaks - Fort Worth - Fossil Creek","6650 North Freeway, Fort Worth, TX 76137","On Premise",76137,"Nathan Zaremba","MB845188","Tarrant","Fort Worth","James Liston",NA,NA,NA,NA,-97.3139642,32.8624104,"1"
"13",1068,"Tricky Fish","1251 State Street, Richardson, TX 75082","On Premise",75082,"Ethan Garrison","RM932488","Collin","Richardson","Mike Harrison",NA,NA,NA,NA,-96.7002711,33.0015563,"1"
"14",1069,"Tom Thumb 3614 - Hampton","315 S Hampton Road, Dallas, TX 75208","Off Premise",75208,"Brandon Byrd","BQ764686","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8579515,32.7426503,"1"
"15",1070,"Triple D Liquor","323 W 4th St., Weatherford, TX 76086","Off Premise",76086,"Brandon Pitzer","BF721394","Parker","Weatherford","James Liston",NA,NA,NA,NA,-97.8029804,32.7733927,"1"
"16",1083,"Ill Minster","2600 Cedar Springs Rd., Dallas, TX 75219","On Premise",75219,"Ethan Garrison","MB964523","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8050328,32.7998289,"1"
"17",1090,"Big Country Liquor Beer & Wine","6619 Forest Hill Dr., Forest Hill, TX 76140","Off Premise",76140,"Justin Page","P645017","Tarrant","Forest Hill","Kevin Whitehorse",NA,NA,NA,NA,-97.2683508,32.6585538,"1"
"18",1091,"Tom Thumb 3570 - Gaston","7331 Gaston Avenue, Dallas, TX 75214","Off Premise",75214,"Brandon Byrd","BQ961475","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7299148,32.8128156,"1"
"19",1092,"Tom Thumb 3569 - Oak Lawn","3878 Oak Lawn Avenue, Dallas, TX 75219","Off Premise",75219,"Brandon Byrd","BQ963877","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8006889,32.8154845,"1"
"20",1093,"Tom Thumb 3571 - River Run","1751 River Run, Fort Worth, TX 76107","Off Premise",76107,"Justin Page","BQ963216","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3598741,32.7267531,"1"
