Date,Customer Num,Company,Ahuevo DIPA 1/2 BBL,Ahuevo DIPA 1/6 BBL,Amped Fusion 1/6 BBL,BA Fur Slipper - 1/6 BBL,Boatmans Barleywine - 1/2 BBL,Boatmans Barleywine - 1/6 BBL,Bourbon BA Fur Slipper - 1/6,Coco Anejo - 1/2 BBL,Coco Anejo - 1/6 BBL,Coco Anejo - 4/6/12 CN,Feisty Blonde 1/2 BBL,Feisty Blonde 1/6 BBL,Feisty Blonde 4/6/12 CN,Feisty Redhead - 1/2 BBL,Feisty Redhead - 1/6 BBL,Feisty Redhead - 4/6/12 CN,Fingal Irish Stout Nitro - 1/2 BBL,Fingal Irish Stout Nitro - 1/6 BBL,Fur Slipper 1/2 BBL,Fur Slipper 1/6 BBL,Fur Slipper 4/6/12 CN,Fur Slipper Nitro 1/2 BBL,Fur Slipper Nitro 1/6 BBL,Go Easy IPA - 1/2 BBL,Go Easy IPA - 1/6 BBL,Go Easy IPA - 4/6/12 CN,Hairpin 1/2 BBL,Hairpin 1/6 BBL,Hairpin 4/6/12 CN,Hopfusion - Glasses - 16oz Snifter - Logo - 12,Hopfusion - Glasses - Pint - Logo - 24,La Fauves - Hibiscus Ginger - 1/6 BBL,Orange Blossom Special - 1/2 BBL,Orange Blossom Special - 1/6 BBL,Sprockets Altbier - 1/2 BBL,Sprockets Altbier - 1/6 BBL,Steampipe 1/2 BBL,Steampipe 1/6 BBL,Steampipe 4/6/12 CN,Tejano Lager - 1/2 BBL,Tejano Lager - 1/6 BBL,Thorny Blonde 1/2 BBL,Thorny Blonde 1/6 BBL,Zombie Crack 1/2 BBL,Zombie Crack 1/6 BBL
10/20/2018,1169,Haystack - Dallas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/12/2018,3495,Cadillac Pizza Pub,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/11/2018,4379,The Brass Tap - Allen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/28/2018,4761,Rock & Brews,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/27/2018,4472,Pouring Glory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/21/2018,4744,Thirsty Growler,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/20/2018,4086,Taps & Caps - Lewisville,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/20/2018,1773,City Works -FW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/19/2018,1751,Half Pint Taproom & Restoration Hall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/7/2018,1109,On Tap,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
